lengthKm,xOverL,uxPISM
20,0.180000,5.83523590
20,0.190000,5.33781319
20,0.200000,4.97059360
20,0.210000,4.68913655
20,0.220000,4.49344203
20,0.230000,4.38351006
20,0.240000,4.37415414
20,0.250000,4.33517117
20,0.260000,4.31100173
20,0.270000,4.37415414
20,0.280000,4.39988290
20,0.290000,4.54567922
20,0.300000,4.70550940
20,0.310000,4.98696645
20,0.320000,5.35418604
20,0.330000,5.78221906
20,0.340000,6.34513316
20,0.350000,7.10296212
20,0.360000,7.94733327
20,0.370000,8.86343309
20,0.380000,9.81773622
20,0.390000,11.02932696
20,0.400000,12.29939216
20,0.410000,13.70667742
20,0.420000,15.19972521
20,0.430000,16.69277300
20,0.440000,18.34097301
20,0.450000,20.11547786
20,0.460000,21.88998270
20,0.470000,23.60835206
20,0.480000,25.35322985
20,0.490000,27.14644652
20,0.500000,28.94512080
20,0.510000,30.67674438
20,0.520000,32.36002907
20,0.530000,33.88270392
20,0.540000,35.43188719
20,0.550000,36.84696904
20,0.560000,38.24645770
20,0.570000,39.35591305
20,0.580000,40.56750380
20,0.590000,41.60445083
20,0.600000,42.47611006
20,0.610000,43.32749815
20,0.620000,43.97617478
20,0.630000,44.53908889
20,0.640000,45.06379968
20,0.650000,45.45440905
20,0.660000,45.79901851
20,0.670000,46.07969590
20,0.680000,46.31203441
20,0.690000,46.45861038
20,0.700000,46.48355948
20,0.710000,46.51942382
20,0.720000,46.65508456
20,0.730000,46.65508456
20,0.740000,46.65508456
20,0.750000,46.65508456
20,0.760000,46.65508456
20,0.770000,46.65508456
20,0.780000,46.65508456
20,0.790000,46.65508456
20,0.800000,46.56932202
20,0.810000,46.48355948
20,0.820000,46.43911890
20,0.830000,46.31203441
20,0.840000,46.12647547
20,0.850000,45.79745919
20,0.860000,45.51522248
20,0.870000,45.12383345
20,0.880000,44.64668189
20,0.890000,44.08376779
20,0.900000,43.36882010
20,0.910000,42.52912690
20,0.920000,41.65123039
20,0.930000,40.69692726
20,0.940000,39.57109905
20,0.950000,38.34391513
20,0.960000,36.97639250
20,0.970000,35.59327669
20,0.980000,34.11972038
20,0.990000,32.48399492
20,1.000000,31.58036965
40,0.000000,30.98472831
40,0.010000,29.43811231
40,0.020000,26.69360096
40,0.030000,23.80268018
40,0.040000,21.29508591
40,0.050000,19.01908474
40,0.060000,16.65257592
40,0.070000,14.72529540
40,0.080000,12.65160544
40,0.090000,11.16355322
40,0.100000,9.63557115
40,0.110000,8.37911202
