lengthKm,xOverL,uxFSMean
80,0.070000,11.33708780
80,0.080000,9.78329274
80,0.090000,8.46889482
80,0.100000,7.28739248
80,0.110000,6.27936214
80,0.120000,5.44260883
80,0.130000,4.70454667
80,0.140000,4.09961860
80,0.150000,3.58934831
80,0.160000,3.14748596
80,0.170000,2.80710868
80,0.180000,2.50290150
80,0.190000,2.27823839
80,0.200000,2.09187100
80,0.210000,1.94754642
80,0.220000,1.85301859
80,0.230000,1.78200188
80,0.240000,1.74892573
80,0.250000,1.73723823
80,0.260000,1.74422585
80,0.270000,1.78422919
80,0.280000,1.84496665
80,0.290000,1.94979420
80,0.300000,2.08288625
80,0.310000,2.25841974
80,0.320000,2.49330487
80,0.330000,2.77055614
80,0.340000,3.13063056
80,0.350000,3.54934943
80,0.360000,4.05493810
80,0.370000,4.66599349
80,0.380000,5.37202258
80,0.390000,6.22548823
80,0.400000,7.20008481
80,0.410000,8.34026090
80,0.420000,9.67291962
80,0.430000,11.19277771
80,0.440000,12.96288866
80,0.450000,14.90438183
80,0.460000,17.12028124
80,0.470000,19.54053476
80,0.480000,22.21881829
80,0.490000,25.13564936
80,0.500000,28.26875536
80,0.510000,31.64612822
80,0.520000,35.21545597
80,0.530000,38.95711698
80,0.540000,42.87480449
80,0.550000,46.88564644
80,0.560000,51.00405938
80,0.570000,55.14250703
80,0.580000,59.27342138
80,0.590000,63.34703334
80,0.600000,67.31994046
80,0.610000,71.12525918
80,0.620000,74.77796721
80,0.630000,78.14119590
80,0.640000,81.28641840
80,0.650000,84.08528919
80,0.660000,86.56721774
80,0.670000,88.74881004
80,0.680000,90.49836700
80,0.690000,91.97352912
80,0.700000,93.08580395
80,0.710000,93.89064288
80,0.720000,94.51563006
80,0.730000,94.84267706
80,0.740000,95.05923629
80,0.750000,95.10854563
80,0.760000,95.07740361
80,0.770000,94.94540771
80,0.780000,94.59951338
80,0.790000,94.10788735
80,0.800000,93.27534616
80,0.810000,92.17725877
80,0.820000,90.82700774
80,0.830000,89.02023557
80,0.840000,87.00483682
80,0.850000,84.55067830
80,0.860000,81.80826908
80,0.870000,78.79610941
80,0.880000,75.43162406
80,0.890000,71.89168766
80,0.900000,68.09309852
80,0.910000,64.12323762
80,0.920000,60.05749902
80,0.930000,55.92162887
80,0.940000,51.75666274
80,0.950000,47.65659996
80,0.960000,43.61861992
80,0.970000,39.71997252
80,0.980000,35.91224250
80,0.990000,32.13689941
