lengthKm,xOverL,uxPISM
160,0.040000,14.33028711
160,0.050000,13.66879155
160,0.060000,13.21683807
160,0.070000,12.31293110
160,0.080000,12.31293110
160,0.090000,11.43367614
160,0.100000,11.40902413
160,0.110000,10.95707064
160,0.120000,10.50511716
160,0.130000,10.50511716
160,0.140000,10.50511716
160,0.150000,10.05316367
160,0.160000,9.63818820
160,0.170000,9.60121019
160,0.180000,9.60121019
160,0.190000,9.60121019
160,0.200000,9.60121019
160,0.210000,9.60121019
160,0.220000,9.60121019
160,0.230000,9.60121019
160,0.240000,9.60121019
160,0.250000,9.60121019
160,0.260000,9.60121019
160,0.270000,9.60121019
160,0.280000,9.60121019
160,0.290000,9.60121019
160,0.300000,9.60121019
160,0.310000,9.60121019
160,0.320000,9.60121019
160,0.330000,9.60121019
160,0.340000,10.04905501
160,0.350000,10.17642372
160,0.360000,10.50511716
160,0.370000,10.50511716
160,0.380000,10.55852984
160,0.390000,11.13785204
160,0.400000,11.40902413
160,0.410000,11.84454294
160,0.420000,12.31293110
160,0.430000,12.55123385
160,0.440000,13.21683807
160,0.450000,14.12074504
160,0.460000,14.57269852
160,0.470000,15.32047611
160,0.480000,16.35175179
160,0.490000,17.28441943
160,0.500000,18.41430314
160,0.510000,19.79892428
160,0.520000,20.95756866
160,0.530000,23.02012002
160,0.540000,25.08267138
160,0.550000,27.59717622
160,0.560000,30.56363455
160,0.570000,33.74374362
160,0.580000,37.85241166
160,0.590000,43.09507209
160,0.600000,49.04442342
160,0.610000,56.15241913
160,0.620000,65.72150701
160,0.630000,76.70397669
160,0.640000,90.95694614
160,0.650000,106.77120944
160,0.660000,124.90687019
160,0.670000,146.70746284
160,0.680000,169.66669987
160,0.690000,191.27007645
160,0.700000,207.78281332
160,0.710000,222.36447621
160,0.720000,230.96802709
160,0.730000,234.21387485
160,0.740000,235.57795264
160,0.750000,235.57795264
160,0.760000,235.20406385
160,0.770000,233.67153067
160,0.780000,228.99586643
160,0.790000,218.37906820
160,0.800000,204.12609876
160,0.810000,184.60581688
160,0.820000,161.77805722
160,0.830000,139.67342314
160,0.840000,120.30105331
160,0.850000,102.53928136
160,0.860000,86.51958465
160,0.870000,73.13765283
160,0.880000,62.36472522
160,0.890000,54.13917179
160,0.900000,46.82574267
160,0.910000,41.16399811
160,0.920000,36.26235713
160,0.930000,32.54401255
160,0.940000,29.57755422
160,0.950000,26.69326925
160,0.960000,24.09659105
160,0.970000,22.37095047
160,0.980000,20.87539530
160,0.990000,19.40449214
160,1.000000,19.35929680
